V_A,V_A_err,C,C_err
-0.000000000000000000e+00,-0.000000000000000000e+00,3.751099999999999754e-08,1.875499999999999986e-09
-1.000000000000000056e-01,-2.000000000000000042e-03,3.626299999999999854e-08,1.813199999999999901e-09
-2.000000000000000111e-01,-4.000000000000000083e-03,2.850499999999999948e-08,1.425200000000000000e-09
-2.999999999999999889e-01,-6.000000000000000125e-03,2.492600000000000099e-08,1.246299999999999925e-09
-4.000000000000000222e-01,-8.000000000000000167e-03,2.195000000000000134e-08,1.097499999999999984e-09
-5.000000000000000000e-01,-1.000000000000000021e-02,2.190600000000000107e-08,1.095299999999999930e-09
-5.999999999999999778e-01,-1.200000000000000025e-02,2.185999999999999854e-08,1.093000000000000051e-09
-6.999999999999999556e-01,-1.400000000000000029e-02,1.969299999999999972e-08,9.846400000000000243e-10
-8.000000000000000444e-01,-1.600000000000000033e-02,1.864300000000000024e-08,9.321700000000001011e-10
-9.000000000000000222e-01,-1.799999999999999864e-02,1.812199999999999843e-08,9.061000000000000040e-10
-1.000000000000000000e+00,-2.000000000000000042e-02,1.776599999999999841e-08,8.883000000000000241e-10
-1.199999999999999956e+00,-2.400000000000000050e-02,1.346299999999999952e-08,6.731300000000000320e-10
-1.699999999999999956e+00,-3.400000000000000244e-02,1.166200000000000047e-08,5.830999999999999820e-10
-2.200000000000000178e+00,-4.399999999999999745e-02,9.569600000000000537e-09,4.784799999999999855e-10
-2.700000000000000178e+00,-5.399999999999999939e-02,8.224100000000000169e-09,4.111999999999999862e-10
-3.200000000000000178e+00,-6.400000000000000133e-02,6.490700000000000344e-09,3.245300000000000157e-10
-3.700000000000000178e+00,-7.399999999999999634e-02,6.189200000000000093e-09,3.094599999999999839e-10
-4.200000000000000178e+00,-8.400000000000000522e-02,6.317399999999999712e-09,3.158700000000000166e-10
-4.700000000000000178e+00,-9.400000000000000022e-02,5.603800000000000025e-09,2.801899999999999909e-10
-5.000000000000000000e+00,-1.000000000000000056e-01,5.160900000000000242e-09,2.580400000000000209e-10
-7.000000000000000000e+00,-1.400000000000000133e-01,3.956400000000000110e-09,1.978199999999999952e-10
-9.000000000000000000e+00,-1.799999999999999933e-01,2.831900000000000116e-09,1.415899999999999991e-10
-1.100000000000000000e+01,-2.200000000000000011e-01,2.505500000000000085e-09,1.252699999999999975e-10
-1.300000000000000000e+01,-2.600000000000000089e-01,2.118999999999999817e-09,1.059500000000000064e-10
-1.500000000000000000e+01,-2.999999999999999889e-01,1.956600000000000047e-09,9.782799999999999553e-11
-1.700000000000000000e+01,-3.400000000000000244e-01,1.797999999999999995e-09,8.989999999999999458e-11
-1.900000000000000000e+01,-3.800000000000000044e-01,1.439099999999999921e-09,7.195700000000000288e-11
